CSNameADC;HexCode;CSDecimal;CSNameWireshark;FrontendBuildsSupported;BackendBuildsSupported
TLS1-AES-256-CBC-SHA;0x0035;53;TLS_RSA_WITH_AES_256_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-AES-128-CBC-SHA;0x002f;47;TLS_RSA_WITH_AES_128_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1.2-AES-256-SHA256;0x003d;61;TLS_RSA_WITH_AES_256_CBC_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-AES-128-SHA256;0x003c;60;TLS_RSA_WITH_AES_128_CBC_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-AES256-GCM-SHA384;0x009d;157;TLS_RSA_WITH_AES_256_GCM_SHA384;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-AES128-GCM-SHA256;0x009c;156;TLS_RSA_WITH_AES_128_GCM_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1-ECDHE-RSA-AES256-SHA;0xc014;49172;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1-ECDHE-RSA-AES128-SHA;0xc013;49171;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-RSA-AES-256-SHA384;0xc028;49192;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-RSA-AES-128-SHA256;0xc027;49191;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-RSA-AES256-GCM-SHA384;0xc030;49200;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-RSA-AES128-GCM-SHA256;0xc02f;49199;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1-ECDHE-ECDSA-AES256-SHA;0xc00a;49162;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1-ECDHE-ECDSA-AES128-SHA;0xc009;49161;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.2-ECDHE-ECDSA-AES256-SHA384;0xc024;49188;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.2-ECDHE-ECDSA-AES128-SHA256;0xc023;49187;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.2-ECDHE-ECDSA-AES256-GCM-SHA384;0xc02c;49196;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.2-ECDHE-ECDSA-AES128-GCM-SHA256;0xc02b;49195;TLS_ECDHE_ECDSA_WITH_AES_1286_GCM_SHA256;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.2-DHE-RSA-AES-256-SHA256;0x006b;107;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-DHE-RSA-AES-128-SHA256;0x0067;103;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-DHE-RSA-AES256-GCM-SHA384;0x009f;159;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-DHE-RSA-AES128-GCM-SHA256;0x009e;158;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;11.0-66.x and later,11.1,12.0,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1-DHE-RSA-AES-256-CBCSHA;0x0039;57;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-DHE-RSA-AES-128-CBCSHA;0x0033;51;TLS_DHE_RSA_WITH_AES_128_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-DHE-DSS-AES-256-CBCSHA;0x0038;56;TLS_DHE_DSS_WITH_AES_256_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-DHE-DSS-AES-128-CBCSHA;0x0032;50;TLS_DHE_DSS_WITH_AES_128_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-ECDHE-RSA-DES-CBC3-SHA;0xc012;49170;TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;12.56.x and later,12.1,13.0
TLS1-ECDHE-ECDSA-DESCBC3-SHA;0xc008;49160;TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
SSL3-EDH-RSA-DES-CBC3-SHA;0x0016;22;TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EDH-DSS-DES-CBC3-SHA;0x0013;19;TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-ECDHE-RSA-RC4-SHA;0xc011;49169;TLS_ECDHE_RSA_WITH_RC4_128_SHA;10.5,11.0,11.1,12.0,12.1,13.0;12.56.x and later,12.1,13.0
TLS1-ECDHE-ECDSA-RC4-SHA;0xc007;49159;TLS_ECDHE_ECDSA_WITH_RC4_128_SHA;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1-DHE-DSS-RC4-SHA;0x0066;102;TLS_DHE_DSS_WITH_RC4_128_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-DES-CBC3-SHA;0x000a;10;TLS_RSA_WITH_3DES_EDE_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-RC4-SHA;0x0005;5;TLS_RSA_WITH_RC4_128;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-RC4-MD5;0x0004;4;TLS_RSA_WITH_RC4_128;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-DES-CBC-SHA;0x0009;9;TLS_RSA_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-RC4-SHA;0x0064;100;TLS_RSA_EXPORT1024_WITH_RC4_56_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-RC4-MD5;0x0003;3;TLS_RSA_EXPORT_WITH_RC4_40_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-DES-CBC-SHA;0x0008;8;TLS_RSA_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-RC2-CBC-MD5;0x0006;6;TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EDH-DSS-DES-CBC-SHA;0x0012;18;TLS_DHE_DSS_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-DHE-DSS-DESCBC-SHA;0x0063;99;TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-DHE-DSS-RC4-SHA;0x0065;101;TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-EDH-DSS-DES-CBCSHA;0x0011;17;TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EDH-RSA-DES-CBC-SHA;0x0015;21;TLS_DHE_RSA_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-EDH-RSA-DES-CBCSHA;0x0014;20;TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-RC4-MD5;0x0060;96;TLS_RSA_EXPORT1024_WITH_RC4_56_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-EXP1024-RC2-CBC-MD5;0x0061;97;TLS_RSA_EXPORT1024_WITH_RC2_CBC_56_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-ADH-RC4-MD5;0x0018;24;TLS_DH_anon_WITH_RC4_128_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-ADH-DES-CBC3-SHA;0x001b;27;TLS_DH_anon_WITH_3DES_EDE_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-ADH-DES-CBC-SHA;0x001a;26;TLS_DH_anon_WITH_DES_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-ADH-AES-128-CBC-SHA;0x0034;52;TLS_DH_anon_WITH_AES_128_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1-ADH-AES-256-CBC-SHA;0x003a;58;TLS_DH_anon_WITH_AES_256_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-ADH-RC4-MD5;0x0017;23;TLS_DH_anon_EXPORT_WITH_RC4_40_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-EXP-ADH-DES-CBC-SHA;0x0019;25;TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-NULL-MD5;0x0001;1;TLS_RSA_WITH_NULL_MD5;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
SSL3-NULL-SHA;0x0002;2;TLS_RSA_WITH_NULL_SHA;10.5,11.0,11.1,12.0,12.1,13.0;10.5,11.0,11.1,12.0,12.1,13.0
TLS1.2-DHE-RSA-CHACHA20-POLY1305;0xccaa;52394;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;12.0 56.x and later,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-RSACHACHA20-POLY1305;0xcca8;52392;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;12.0 56.x and later,12.1,13.0;12.0 56.x and later,12.1,13.0
TLS1.2-ECDHE-ECDSACHACHA20-POLY1305;0xcca9;52393;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;12.0 57.x and later,12.1,13.0;12.0 57.x and later,12.1,13.0
TLS1.3-AES128_GCM-SHA256;0x1301;4865;TLS_AES_128_GCM_SHA256;12.1-50.x,13.0;NA
TLS1.3-AES256-GCM-SHA384;0x1302;4866;TLS_AES_256_GCM_SHA384;12.1-50.x,13.0;NA
TLS1.3-CHACHA20-POLY1305-SHA256;0x1303;4867;TLS_CHACHA20_POLY1305_SHA256;12.1-50.x,13.0;NA
